Parameter,Category,Source_Type,Patient_Profile,Protocol,Max_Sensitivity,Efficacy_Sensitivity
K,Biological - Growth,Literature,average,standard,0.02223001884124528,0.022077768272816132
K,Biological - Growth,Literature,average,continuous,0.13050171156805832,0.12976279454822415
K,Biological - Growth,Literature,average,adaptive,0.12659834098354672,0.12604272768679886
K,Biological - Growth,Literature,average,immuno_combo,0.09319141805532888,0.09283023663822604
K,Biological - Growth,Literature,average,hyperthermia,0.08842184980471889,0.08794594080454647
K,Biological - Growth,Literature,young,standard,0.07837942751201314,0.07796124796665821
K,Biological - Growth,Literature,young,continuous,0.08410694142994074,0.08356870042064213
K,Biological - Growth,Literature,young,adaptive,0.38059092572994246,0.3789806900910573
K,Biological - Growth,Literature,young,immuno_combo,0.07260780991837248,0.07230015709719873
K,Biological - Growth,Literature,young,hyperthermia,0.04463839662672016,0.04437207366683339
K,Biological - Growth,Literature,elderly,standard,0.08840013110779629,0.08790980733575775
K,Biological - Growth,Literature,elderly,continuous,0.18882961864286582,0.18767311118436633
K,Biological - Growth,Literature,elderly,adaptive,0.2370524085476405,0.23608035050452314
K,Biological - Growth,Literature,elderly,immuno_combo,0.17201516206530762,0.17128200945721173
K,Biological - Growth,Literature,elderly,hyperthermia,0.06593767695607405,0.06558295992500829
K,Biological - Growth,Literature,compromised,standard,0.08050628011397612,0.08002981200106221
K,Biological - Growth,Literature,compromised,continuous,0.23797385258250034,0.236484740332278
K,Biological - Growth,Literature,compromised,adaptive,0.5919218202971676,0.5894737226520745
K,Biological - Growth,Literature,compromised,immuno_combo,0.1882368285113552,0.18733481343720682
K,Biological - Growth,Literature,compromised,hyperthermia,0.03828815965967946,0.0380941730441258
lambda1,Biological - Growth,Experimental,average,standard,0.06687857477275916,0.06649023762554829
lambda1,Biological - Growth,Experimental,average,continuous,0.17873015510553253,0.1776385492769692
lambda1,Biological - Growth,Experimental,average,adaptive,0.1494862600228303,0.1488576426383099
lambda1,Biological - Growth,Experimental,average,immuno_combo,0.0826975636903424,0.08233382707358086
lambda1,Biological - Growth,Experimental,average,hyperthermia,0.15282587623709407,0.15195222100371672
lambda1,Biological - Growth,Experimental,young,standard,0.11185620251397875,0.1112508276348548
lambda1,Biological - Growth,Experimental,young,continuous,0.08522321342905406,0.08468757583114103
lambda1,Biological - Growth,Experimental,young,adaptive,0.20512934954443723,0.20424857107132502
lambda1,Biological - Growth,Experimental,young,immuno_combo,0.1568443154167965,0.15617959202637383
lambda1,Biological - Growth,Experimental,young,hyperthermia,0.13650640914703957,0.13571757543971597
lambda1,Biological - Growth,Experimental,elderly,standard,0.0334713089178632,0.03321872236488407
lambda1,Biological - Growth,Experimental,elderly,continuous,0.14216903028101704,0.1412707975486009
lambda1,Biological - Growth,Experimental,elderly,adaptive,0.40238820106234546,0.40072455995111955
lambda1,Biological - Growth,Experimental,elderly,immuno_combo,0.11956861037359366,0.11907520764060145
lambda1,Biological - Growth,Experimental,elderly,hyperthermia,0.05025932725922776,0.04996878483220169
lambda1,Biological - Growth,Experimental,compromised,standard,0.06574687418267623,0.06530723299508301
lambda1,Biological - Growth,Experimental,compromised,continuous,0.04130307810172014,0.04104132646390428
lambda1,Biological - Growth,Experimental,compromised,adaptive,0.18362427664085962,0.18283326537052744
lambda1,Biological - Growth,Experimental,compromised,immuno_combo,0.1041339788197451,0.10363672073866698
lambda1,Biological - Growth,Experimental,compromised,hyperthermia,0.09989584019957412,0.09928004359162448
lambda2,Biological - Growth,Experimental,average,standard,0.030164383116021765,0.030003426091425048
lambda2,Biological - Growth,Experimental,average,continuous,0.06518258399189415,0.06479013842285195
lambda2,Biological - Growth,Experimental,average,adaptive,0.345434701710691,0.34400942883649743
lambda2,Biological - Growth,Experimental,average,immuno_combo,0.1385048282330817,0.1379220416134314
lambda2,Biological - Growth,Experimental,average,hyperthermia,0.07836495063454121,0.07798031170372112
lambda2,Biological - Growth,Experimental,young,standard,0.16848536841891984,0.167552629215117
lambda2,Biological - Growth,Experimental,young,continuous,0.06233457431815044,0.061952263426579016
lambda2,Biological - Growth,Experimental,young,adaptive,0.2213777558794972,0.2204809416210274
lambda2,Biological - Growth,Experimental,young,immuno_combo,0.04709024871794682,0.046896816815618324
lambda2,Biological - Growth,Experimental,young,hyperthermia,0.09464514071156027,0.0941725851132474
lambda2,Biological - Growth,Experimental,elderly,standard,0.08315749586047506,0.0826492032742363
lambda2,Biological - Growth,Experimental,elderly,continuous,0.059039294272579285,0.05867911968725174
lambda2,Biological - Growth,Experimental,elderly,adaptive,0.3306393857322165,0.3291974308449926
lambda2,Biological - Growth,Experimental,elderly,immuno_combo,0.08307212447060974,0.08272323592681141
lambda2,Biological - Growth,Experimental,elderly,hyperthermia,0.1878265518430645,0.18675683644102697
lambda2,Biological - Growth,Experimental,compromised,standard,0.18908728410862946,0.18796396898950926
lambda2,Biological - Growth,Experimental,compromised,continuous,0.1696304848106168,0.16856137735840837
lambda2,Biological - Growth,Experimental,compromised,adaptive,0.09792697247420037,0.0975030225371
lambda2,Biological - Growth,Experimental,compromised,immuno_combo,0.0993041200689119,0.09883690051277305
lambda2,Biological - Growth,Experimental,compromised,hyperthermia,0.12914972876717326,0.1283828891420797
lambda_R1,Biological - Resistance,Literature,average,standard,0.12272429185953124,0.12192434547509588
lambda_R1,Biological - Resistance,Literature,average,continuous,0.05950289854470617,0.05913919299010577
lambda_R1,Biological - Resistance,Literature,average,adaptive,0.09904735819871098,0.09853598292757793
lambda_R1,Biological - Resistance,Literature,average,immuno_combo,0.14623196570689276,0.14571961092406843
lambda_R1,Biological - Resistance,Literature,average,hyperthermia,0.054747963280448085,0.054433767386682985
lambda_R1,Biological - Resistance,Literature,young,standard,0.06952145294216053,0.06921928471104519
lambda_R1,Biological - Resistance,Literature,young,continuous,0.1737217476573821,0.1727525973652192
lambda_R1,Biological - Resistance,Literature,young,adaptive,0.06106994092523201,0.06080109719346831
lambda_R1,Biological - Resistance,Literature,young,immuno_combo,0.14189583174567175,0.14131604488193752
lambda_R1,Biological - Resistance,Literature,young,hyperthermia,0.07515962547028594,0.07477327084832983
lambda_R1,Biological - Resistance,Literature,elderly,standard,0.04439512425175739,0.044164063301690794
lambda_R1,Biological - Resistance,Literature,elderly,continuous,0.18109227682333628,0.179957301765145
lambda_R1,Biological - Resistance,Literature,elderly,adaptive,0.2973865230460159,0.29611773019675186
lambda_R1,Biological - Resistance,Literature,elderly,immuno_combo,0.08701980273531121,0.08674860800326144
lambda_R1,Biological - Resistance,Literature,elderly,hyperthermia,0.03843492635971266,0.038064772939974664
