Patient_Profile,average,average,average,average,average,compromised,compromised,compromised,compromised,compromised,elderly,elderly,elderly,elderly,elderly,young,young,young,young,young
Protocol,adaptive,continuous,hyperthermia,immuno_combo,standard,adaptive,continuous,hyperthermia,immuno_combo,standard,adaptive,continuous,hyperthermia,immuno_combo,standard,adaptive,continuous,hyperthermia,immuno_combo,standard
Parameter,,,,,,,,,,,,,,,,,,,,
EC50,0.08542828131655177,0.3767122875365264,0.14751525161458773,0.051568680802625035,0.11574185151674991,0.24132182018250192,0.10495115610664764,0.1341105510456904,0.10291194326649675,0.08657416032804577,0.16515395538393376,0.12788730137038765,0.10460159576696515,0.09771081995480195,0.07926489261109389,0.23528030339194145,0.1815156479028226,0.20070178712453624,0.19271547041463571,0.1661707871303054
K,0.12659834098354672,0.13050171156805832,0.08842184980471889,0.09319141805532888,0.02223001884124528,0.5919218202971676,0.23797385258250034,0.03828815965967946,0.1882368285113552,0.08050628011397612,0.2370524085476405,0.18882961864286582,0.06593767695607405,0.17201516206530762,0.08840013110779629,0.38059092572994246,0.08410694142994074,0.04463839662672016,0.07260780991837248,0.07837942751201314
absorption_rate,0.0806025956943723,0.12526447558183187,0.1018664441854316,0.07513228306526125,0.12411096264741746,0.3076026205308839,0.19314512133197442,0.11882868916693098,0.5044900875214453,0.11315712117097222,0.18071552553940826,0.14325441096110664,0.07473109336632515,0.06145021718057009,0.14292076996616793,0.07753471004334139,0.039252716652238694,0.18622136125178437,0.07768796983224667,0.18793233519231503
acidosis_factor,0.15884040126122884,0.07792450709669115,0.14809637729307168,0.06309935076229407,0.01890735405692213,0.17162143240319833,0.2966857925283322,0.06912629811918752,0.05179624330635667,0.10715900191603948,0.16141017192412796,0.08362523175851139,0.07355920472168453,0.0827259923602018,0.022108792428359735,0.10137881951568221,0.09512937077001546,0.024987679798309008,0.05461636315217734,0.07290021397133627
adaptive_resist_dev,0.035526675980080934,0.10887126617427895,0.07817844935650757,0.06455750181929623,0.09744794090430678,0.23645058359546,0.099854663909335,0.07230497413587654,0.08235805917488326,0.08075507327144299,0.848332459794839,0.12901052920463518,0.033126014608314325,0.07616948633598718,0.13013945238350758,0.21857752132411168,0.06686048753214745,0.052045403905486065,0.04702921443278586,0.10500333447347017
age_factor,0.18822145471974566,0.08793090679148903,0.06042265777443474,0.1977369839055427,0.08389959710103354,0.14164978361800254,0.11895335133301627,0.09299471658728595,0.09649094337612085,0.11796967230541816,0.21623947860469545,0.08697629539506858,0.0724039693256388,0.08139510072521099,0.14950132139640088,0.14306603626054382,0.15006488156498843,0.1665653078072326,0.11427410105697992,0.053801984057355534
alpha_A,0.12420367357606592,0.11679857701479253,0.05562749797012079,0.06865662196318238,0.10225830676737827,0.27858941689338396,0.09891977438239645,0.07374912281688982,0.08604774943420296,0.07711316512730373,0.2021557575805738,0.22020948791904343,0.09222525504788712,0.05094045368747385,0.1279304872072909,0.13927066762245466,0.11290580629125511,0.09673668487802914,0.1389921650113918,0.13094385401180922
beta1,0.8986230397725824,0.9058925631659338,0.850200970588223,0.988501973586095,0.8370522668494861,1.0049209147774196,0.6954056260708349,0.7989576881404525,0.9432053310877335,0.8366368049427215,0.922178141695517,0.6406325125872191,0.7689834307936243,0.9976865481067074,0.7614732160849851,0.9191307761799976,0.8428054366735934,0.8465045555460498,1.0252653118453086,0.84656283442193
beta2,0.2666778246978134,0.0993295155476461,0.06347236912018323,0.20627071424560503,0.06096957143401414,0.2785861584311662,0.11986254451722228,0.1403265644252576,0.09151882590498203,0.029361999815203665,0.14337586040128156,0.287993377056734,0.05259372449181139,0.04140754530376707,0.04884768286898752,0.0994791819634467,0.08195479413925191,0.12384588791072587,0.08854702364290536,0.05481662604977407
bioavailability,0.14990031807374646,0.23680335355982352,0.18576768586133666,0.0716004545092801,0.18164083715121732,0.2404112683514395,0.21653303554733833,0.20224652184440634,0.4837461247194862,0.06257450056153702,0.20971922937565063,0.1727693807424549,0.1542591934688498,0.09605634491488048,0.10908054929923941,0.11530966809202345,0.16366681576621522,0.1283475897923145,0.16997640495005478,0.09583730652517117
bmi_factor,0.32754928895651036,0.07289631908067686,0.0563720638479371,0.09671304481214497,0.11586317708493458,0.15353407585063442,0.09245882548747125,0.036413018883923086,0.035467056736707026,0.10801213321497695,0.11942835708565419,0.13365502060678078,0.17434528451557643,0.11283099142032282,0.04624152215349156,0.39064533963324144,0.10489979063954763,0.01183641670950085,0.05329383994375227,0.12724594537253253
circadian_amplitude,0.1509389909502544,0.052776478969434756,0.12232740856529675,0.0653236748186379,0.04898752875531476,0.12050001165729018,0.16561088189066084,0.10859166504679527,0.23810989128268245,0.1038770003163851,0.19522836484494424,0.4162183592196499,0.09312900833699087,0.11246301992210252,0.028232448293150206,0.3245474546157839,0.13536740715376216,0.049225795655013366,0.06931276077844009,0.13514649441800888
circadian_period,0.1776726562746544,0.1404415406609362,0.188030760937956,0.1110540966932109,0.0843131227547003,0.16851204622772328,0.14156875228433985,0.12961120009027,0.10876653977224025,0.04327868281759114,0.1056351682658135,0.21068368142158925,0.027222609346519912,0.059597426336615064,0.057032814033460486,0.14323213421140527,0.12417534841047145,0.09887926145078713,0.12235015407151402,0.052885130492666924
circadian_phase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
continuous_resist_dev,0.208704385802295,0.11878346640960574,0.027706867764621626,0.09218971128038131,0.056886783711167524,0.22165522020570935,0.07251646708234043,0.15938471084468703,0.07035635028641793,0.011907378989134687,0.18376797338260878,0.2238125272790575,0.09351949604797608,0.11630665888513313,0.1420910569559106,0.6184325806430088,0.4292425116202003,0.10258519886739473,0.09108741524487822,0.04401879640764386
delta_A,0.17888892379630134,0.16552359328469402,0.060091170601156235,0.09632562922899321,0.02825618130322834,0.13698434944754018,0.11563655736824076,0.13119413911453703,0.0917254671413902,0.1104906051228483,0.40343701909097884,0.13507590853035747,0.08525631813316982,0.047623234161550135,0.08477484340173139,0.22686690809405893,0.13064664954374286,0.07900032520897292,0.03882620707665893,0.030993636389247233
delta_I,0.13779001734386465,0.12107916983127001,0.11817958674349283,0.22137314444382866,0.08740123076159795,0.25536584965174536,0.0798541426961154,0.11863805007875887,0.095824284827903,0.0633342301241075,0.10775963983164277,0.10370599938144534,0.10529840981968955,0.09632123450201778,0.12669911039184154,0.16229676700246054,0.07074201605022945,0.1287635585380425,0.12753692132785185,0.06793517055177567
